Chinese	Pinyin	English
在一些问题上，他仍然保留自己的意见。	zài yīxiē wèntí shàng tā réngrán bǎoliú zìjǐ de yìjiàn	He still reserved his opinion on some points.
你撞到了我的手肘，弄坏了我正在画的图画。	nǐ zhuàng dàoliǎo wǒ de shǒuzhǒu nònghuài le wǒ zhèngzài huà de túhuà	You jogged my elbow and spoiled what I was drawing.
听到这消息我很高兴。	tīngdào zhè xiāoxi wǒ hěn gāoxìng	I'm glad to hear that
这是谁的钢笔？	zhè shì shéi de gāngbǐ	Whose pen is this?
这是他最不可能做的尝试。	zhè shì tā zuì bùkěnéng zuò de chángshì	This is the last attempt (that) he would make.
这幅画被他看中了，所以他就把他买了下来。	zhè fú huà bèi tā kànzhòng le suǒyǐ tā jiù bǎ tā mǎi le xiàlai	The painting took his fancy, so he bought it.
我这就上路。	wǒ zhè jiù shànglù	I'm on my way.
你知道你在做什么吗？	nǐ zhīdào nǐ zài zuò shénme ma	What do you think you are doing?
你的生活目标是什么？	nǐ de shēnghuó mùbiāo shì shénme	What is your aim in life?
他一辈子都住在这里。	tā yībèizi dōu zhù zài zhèlǐ	He all lives here all one's life.
我把这本书从头到尾看完了。	wǒ bǎ zhè běn shū cóngtóudàowěi kàn wán le	I've read the book from beginning to end.
我还没来得及给他盖好被子，他就睡着了。	wǒ hái méi láidejí gěi tā gài hǎo bèizi tā jiù shuìzháo le	He was asleep before I tucked him in.
她往餐具柜里放了些盘子。	tā wǎng cānjù guì lǐ fàng le xiē pánzi	She put some plates in the sideboard.
她非常文雅，吃蛋糕一定用小叉子。	tā fēicháng wényǎ chī dàngāo yīdìng yòng xiǎo chāzi	She's so refined that she always eats cake with a little fork.
我的朋友告诉我她住的地方文化生活贫乏。	nà wèi zhíyuán yòng suànpán jiāng shàngzhōu de huāxiāo jìsuàn chūlái	My friend told me that the place she live is a cultural wasteland.
请帮我喂我的猫好吗？	qǐng bāng wǒ wèi wǒ de māo hǎo ma	Will you feed my cat for me?
他愉快地跟我们打招呼。	tā yúkuài dì gēn wǒmen dǎzhāohu	He gave us a cheery greeting.
只要我身体好一定来。	zhǐyào wǒ shēntǐ hǎo yīdìng lái	I will come provided that I am well enough.
我正在用我新买的煎锅做苹果馅饼。	wǒ zhèngzài yòng wǒ xīn mǎi de jiānguō zuò píngguǒxiànbǐng	I am cooking apple pies with my newly bought frying pan.
我们的要求的核心是言论自由。	wǒmen de yāoqiú de héxīn shì yánlùnzìyóu	The core of our appeal is freedom of speech.
把你们的名字写在名单上。	bǎ nǐmen de míngzi xiě zài míngdān shàng	Stick down your names on the list.
我们决定为我们的新产品做广告。	wǒmen juédìng wéi wǒmen de xīnchǎnpǐn zuò guǎnggào	We decided to advertise our new product.
我十分乐意为你做任何事情。	wǒ shífēn lèyì wéi nǐ zuò rènhé shìqing	I am quite willing to do anything for you.
瓶子里装满了水。	píngzi lǐ zhuāngmǎn le shuǐ	The bottle is full of water.
由于他的参与，我们赢了比赛。	yóuyú tā de cānyù wǒmen yíng le bǐsài	We win the game because of his participation.
我证明他已经收到了你的钱。	wǒ zhèngmíng tā yǐjīng shōu dàoliǎo nǐ de qián	I certify that he has received your money.
妈妈准备了好吃的东西给我。	māma zhǔnbèi le hǎochī de dōngxi gěi wǒ	Mother has something delicious in store for me.
我很倒霉，丢了钥匙。	wǒ hěn dǎoméi diū le yàoshi	I was unfortunate to lose my keys.
那把椅子原本是为你准备的，但是被她拿走了。	nà bǎ yǐzi yuánběn shì wéi nǐ zhǔnbèi de dànshì bèi tā názǒu le	The chair was intended for you, but she took it away.
我今天提早工作都做完了，但是别人都还在工作，我不好意思回家。	wǒ jīntiān tízǎo gōngzuò dōu zuòwán le dànshì biéren dōu hái zài gōngzuò wǒ bùhǎoyìsi huíjiā	I have gotten my work all done ahead of time today, but I'd feel guilty going home while everybody else is still work.
我一觉醒来，发现我所有的衣服不翼而飞。	wǒ yījiàoxǐnglái fāxiàn wǒ suǒyǒu de yīfu bùyì'érfēi	I awoke from sleep to find that all my clothes had disappeared.
亲爱的，把脸转过去，这场面不适合你看。	qīn'ài de bǎ liǎn zhuàn guòqu zhè chǎngmiàn bù shìhé nǐ kàn	Look away dear, the sight is not fit for your eyes.
老师以嘶哑的声音说话。	lǎoshī yǐ sīyǎ de shēngyīn shuōhuà	The teacher speaks with a husky voice.
我离开巴黎已经两星期了。	wǒ líkāi Bālí yǐjīng liǎngxīngqī le	I have been away from Paris for two weeks.
我不知道他是否愿意来。	wǒ bù zhīdào tā shìfǒu yuànyì lái	I don't know whether he is willing to come.
他的妻子知道在他生气时怎么对付他。	tā de qīzi zhīdào zài tā shēngqì shí zěnme duìfu tā	His wife knows how to manage him when he is angry.
我可以用信用卡付款吗？	wǒ kěyǐ yòng xìnyòngkǎ fùkuǎn ma	May I pay by credit card?
他爷爷快七十岁了。	tā yéye kuài qīshí suì le	His grandfather is nearly seventy.
他给我显示了大厦的模型。	tā gěi wǒ xiǎnshì le dàshà de móxíng	He showed me the miniature of the mansion.
我相信他天生是要当军人的。	wǒ xiāngxìn tā tiānshēng shì yào dāng jūnrén de	I believe he is meant to be a soldier.
我给我儿子买了为儿童改编的莎士比亚剧本。	wǒ gěi wǒ érzi mǎi le wéi értóng gǎibiān de Shāshìbǐyà jùběn	I bought my son an adaptation for children of a play by Shakespeare.
他最初的反应是不同意。可是後来他改变了主意。	tā zuìchū de fǎnyìng shì bùtóng yì kěshì hòu lái tā gǎibiàn le zhǔyi	His first response was to say no. Later, however, he changed his mind.
自从我们在学校认识之后，我们就一直是好朋友。	zìcóng wǒmen zài xuéxiào rènshi zhīhòu wǒmen jiù yīzhí shì hǎopéngyou	We've been friends ever since we met at school.
他的样子和他在电话中说话的声音反映的病情是一样的。	tā de yàngzi hé tā zài diànhuà zhōng shuōhuà de shēngyīn fǎnyìng de bìngqíng shì yīyàng de	He looks as ill as he sounded on the phone.
不跟你父亲打个招呼就走是非常不合适的。	bù gēn nǐ fùqīn dǎ gè zhāohu jiù zǒu shì fēicháng bùhéshì de	To go away without telling your father is most irregular.
有一天我在去我叔叔家的路上迷失了方向。	yǒu yī tiān wǒ zài qù wǒ shūshu jiāde lùshang míshī le fāngxiàng	One day I lost myself on the way to my uncle's house.
你税后的工资是多少？	nǐ shuìhòu de gōngzī shì duōshao	What are your earnings after tax?
这是我买过的最奢侈的东西.	zhè shì wǒ mǎi guò de zuì shēchǐ de dōngxi	It was the most extravagant purchase I have ever made.
我非常想念你。	wǒ fēicháng xiǎngniàn nǐ	I miss you very much.
他努力控制住自己的脾气。	tā nǔlì kòngzhì zhù zìjǐ de píqi	He struggled to control his temper.
我们都支持他的科学研究。	wǒmen dōu zhīchí tā de kēxuéyánjiū	We all support his scientific research.
他和他的大哥一样聪明。	tā hé tā de dàgē yīyàng cōngming	He is no less clever than his elder brother.
我相信他的誓言。	wǒ xiāngxìn tā de shìyán	I believe his troth.
他被树立为我们的榜样。	tā bèi shùlì wéi wǒmen de bǎngyàng	He was set up as our example.
你的衣服是什么颜色？	nǐ de yīfu shì shénme yánsè	What color is your dress?
我是最不可能去尝试回答这个问题。	wǒ shì zuì bùkěnéng qù chángshì huídá zhège wèntí	I would be the last to attempt to answer the question.
我怎样才能使你相信我的诚意呢？	wǒ zěnyàng cáinéng shǐ nǐ xiāngxìn wǒ de chéngyì ne	How can I persuade you of my sincerity!
熊猫是珍贵的动物。	xióngmāo shì zhēnguì de dòngwù	Pandas are precious creatures.
他的工作符合了我们的期望。	tā de gōngzuò fúhé le wǒmen de qīwàng	His work comes up to what we expect of him.
她同情他的困苦。	tā tóngqíng tā de kùnkǔ	She sympathized with him in his afflictions.
我怀疑，不，我肯定他错了。	wǒ huáiyí bù wǒ kěndìng tā cuò le	I suspect, nay, I am certain, that he is wrong.
我们这里的天气多半是暖和的。	wǒmen zhèlǐ de tiānqì duōbàn shì nuǎnhuo de	Our weather has been mostly warm.
他喜欢拿他的同学开玩笑。	tā xǐhuan ná tā de tóngxué kāiwánxiào	He likes playing jokes on his classmates.
能和你在一起对我是件极为安慰的事。	néng hé nǐ zàiyīqǐ duì wǒ shì jiàn jíwéi ānwèi de shì	Your company has been a great consolation to me.
多保重。再见。	duō bǎozhòng zàijiàn	Take care. bye!
只要你不出卖我，要我做什么我都愿意。	zhǐyào nǐ bù chūmài wǒ yào wǒ zuò shénme wǒ dōu yuànyì	As long as you don't betray me, I'll do whatever you ask me to (do).
他每次度假都会带他的狗去。	tā měicì dùjià dūhuì dài tā de gǒu qù	He never goes on a vacation but he takes his pet dog.
他昨天打扫房间吗？	tā zuótiān dǎsǎo fángjiān ma	Did he clean the room yesterday?
我将打电话告诉你测验的结果。	wǒ jiāng dǎdiànhuà gàosu nǐ cèyàn de jiéguǒ	I'll phone the result of the test to you.
我不知道他的动力是什么。	wǒ bù zhīdào tā de dònglì shì shénme	I don't understand what his motive is.
别哭，你现在已经是大男孩了。	bié kū nǐ xiànzài yǐjīng shì dà nánhái le	Don't cry, you are a big boy now.
她在医院里接受了全面检查。	tā zài yīyuàn lǐ jiēshòu le quánmiàn jiǎnchá	She underwent a thorough examination at the hospital.
那可简化了我的工作。	nà kě jiǎnhuà le wǒ de gōngzuò	That will simplify my task.
我把赚的钱都花光了。	wǒ bǎ zhuàn de qián dōu huāguāng le	I've spent all my earnings.
他和我力气一样大.	tā hé wǒ lìqi yīyàng dà	He's my equal in strength.
无忧无虑的无忧无虑的和不关心的；快活的	wúyōuwúlǜ de wúyōuwúlǜ de hé bù guānxīn de kuàihuo de	Carefree and nonchalant; jaunty.
他被拘留了。	tā bèi jūliú le	He is under arrest.
老师对他的学生非常严格。	lǎoshī duì tā de xuésheng fēicháng yángé	The teacher is very strict with his students.
她讨厌他到不和他讲话的程度。	tā tǎoyàn tā dào bùhé tā jiǎnghuà de chéngdù	She hates him to the point of not talking to him.
如果阁下愿意给我时间，我就能拿出证据来。	rúguǒ géxià yuànyì gěi wǒ shíjiān wǒ jiù néng náchū zhèngjù lái	If your Lordship will give me time, I will produce the evidence.
他没完没了的谈话妨碍了我的学习。	tā méiwánméiliǎo de tánhuà fáng'ài le wǒ de xuéxí	His endless talking hinders me from my study.
我们刚才看见的那位同志是你的老师吗？	wǒmen gāngcái kànjiàn de nà wèi tóngzhì shì nǐ de lǎoshī ma	Be the comrade whom we see just now your teacher?
我们正向家的方向走去。	wǒmen zhèng xiàng jiāde fāngxiàng zǒuqù	We are heading home.
她对她的孩子们很严格。	tā duì tā de háizimen hěn yángé	She is strict with her children.
真让我失望。	zhēn ràng wǒ shīwàng	I'm very disappointed.
他正在上初中。	tā zhèngzài shàng chūzhōng	He is studying at a junior middle school.
你一定会被那美丽的景象所感动的。	nǐ yīdìng huì bèi nà měilì de jǐngxiàng suǒ gǎndòng de	You will never fail to be moved by the beauty of the sight.
我与这外宾的关系很好。	wǒ yǔ zhè wàibīn de guānxi hěn hǎo	I am on good terms with this foreign friend.
今天的报纸上有一篇关于办公室里的性骚扰的报道。	jīntiān de bàozhǐ shàng yǒu yī piān guānyú bàngōngshì lǐ de xìngsāorǎo de bàodào	There is a report about a sexual harassment in the office on this newspaper.
他总是用这样得方式说话，所以每个人都讨厌他。	tā zǒngshì yòng zhèyàng dé fāngshì shuōhuà suǒyǐ měigerén dōu tǎoyàn tā	He always talks in such a way that everyone dislikes him.
当她看到他走过来的时候，她的脸亮了起来。	dāng tā kàn dào tā zǒuguò lái de shíhou tā de liǎn liàng le qilai	Her face lit up when she saw he was coming.
他最喜欢吃的菜是烤鸭。	tā zuì xǐhuan chī de cài shì kǎoyā	His favorite dish is roast duck.
我不和我的老板谈私事。	wǒ bùhé wǒ de lǎobǎn tán sīshì	I don't talk with my boss about my private matters.
我因为严寒没出去看电影。	wǒ yīnwèi yánhán méi chūqù kàn diànyǐng	I did not go to the cinema because of the intense cold.
我喜欢节奏快的音乐。	wǒ xǐhuan jiézòu kuài de yīnyuè	I like fast music.
她那抑郁的心情一会儿就过去了。	tā nà yìyù de xīnqíng yīhuìr jiù guòqu le	Her feeling of depression was transient.
我的部分工作是同我们的供应商保持良好的关系。	wǒ de bùfen gōngzuò shì tóng wǒmen de gōngyìngshāng bǎochí liánghǎo de guānxi	Part of my job is to maintain good relationship with our suppliers.
我一直在四处寻找它。	wǒ yīzhí zài sìchù xúnzhǎo tā	I have been seeking it all round.
我真诚地希望他能接受别人的批评。	tā dāngshí kànqǐlái hǎoxiàng shénmeshì dōu méi fāshēng shìde	I sincerely hope that he can accept the criticism of others.
在空白栏中写上你的名字。	zài kòngbái lán zhōng xiě shàng nǐ de míngzi	Write your name in the blank.
我不喜欢读他的文学批评。	wǒ bù xǐhuan dú tā de wénxué pīpíng	I don't like to read his literary criticism.
在年终联欢会季节，晚上是几乎不可能叫到计程车的。	zài niánzhōng liánhuānhuì jìjié wǎnshang shì jīhū bùkěnéng jiào dào jìchéngchē de	It's next to impossible to catch a taxi at night during the year- end party season.
他站起身给自己又倒了点咖啡。	tā zhàn qǐshēn gěi zìjǐ yòu dǎo le diǎn kāfēi	He got up and helped himself to more coffee.
谁翻过我的文件了？	shéi fānguò wǒ de wénjiàn le	Who's been rooting about among my papers?
他老是打扰我.	tā lǎoshi dǎrǎo wǒ	He's constantly disturbing me.
他们的狗把我的裤子咬了个窟窿。	tāmen de gǒu bǎ wǒ de kùzi yǎo le gè kūlong	Their dog bit a hole in my trousers.
那是个复杂得无法解决的问题。	nàshi gè fùzá dé wúfǎ jiějué de wèntí	It's a problem of such perplexity that it was impossible to solve.
你脚上的麻木感一会儿就会消失。	nǐ jiǎo shàng de mámù gǎn yīhuìr jiù huì xiāoshī	The numbness in your foot will soon pass off.
我津津有味地品尝了我妈妈做的鱼。	wǒ jīnjīnyǒuwèi dì pǐncháng le wǒ māma zuò de yú	I tasted the fish my mother cooked with relish.
他带着姐姐一同去。	tā dài zhe jiějie yītóng qù	He took his sister along with him.
她对孩子和动物总是很温柔。	tā duì háizi hé dòngwù zǒngshì hěn wēnróu	She always shows kindness to children and animals.
他的朋友很少，因此他的生活非常孤单。	tā de péngyou hěn shǎo yīncǐ tā de shēnghuó fēicháng gūdān	He has so few friends that his life is lonely.
我恳求你告诉我。	wǒ kěnqiú nǐ gàosu wǒ	I beseech you to tell me.
他把醋洒在鱼和土豆片上。	tā bǎ cù sǎ zài yú hé tǔdòu piàn shàng	He sprinkled vinegar on his fish and chips.
他说话谨慎。	tā shuōhuà jǐnshèn	He is careful in his speech.
我从来不是爱挑拣的人。	wǒ cónglái bùshì ài tiāojiǎn de rén	I'm never one to pick and choose.
我妈妈鼓励我，而且坚持我应该继续我的教育。	wǒ māma gǔlì wǒ érqiě jiānchí wǒ yīnggāi jìxù wǒ de jiàoyù	My mother encouraged me and insisted that I continue my education.
由此可见，你是对的。	yóucǐkějiàn nǐ shì duì de	On the face of it, you are right.
他比我大两岁。	tā bǐ wǒ dà liǎng suì	He is my senior by two years.
他不喜欢自己的宽大的鼻孔。	tā bù xǐhuan zìjǐ de kuāndà de bíkǒng	He dislikes his wide nostrils.
我舒适地靠在大沙发上，开始看小说。	wǒ shūshì dì kào zài dà shāfā shàng kāishǐ kàn xiǎoshuō	I nestled down on the big sofa and began to read novels.
我们得给我们的新房子买些家具。	wǒmen dé gěi wǒmen de xīn fángzi mǎi xiē jiājù	We will buy some furniture for our new house.
我有个简易的方法。	wǒ yǒu gè jiǎnyì de fāngfǎ	I have a simple and easy method.
请你为我翻译一下好吗？	qǐng nǐ wéi wǒ fānyì yīxià hǎo ma	Would you please interpret for me?
他不喜欢吃鱼。	tā bù xǐhuan chī yú	He doesn't care for fish.
